sube_adi;sube_il_kodu;sube_kodu;
SANAYİ/KAYSERİ;038;004600051038;
YENİSANAYİ;038;004600708038;
BABAESKİ/KIRKLARELİ;039;004600485039;
KIRKLARELİ;039;004600129039;
LÜLEBURGAZ;039;004600125039;
VİZE/KIRKLARELİ;039;004600534039;
KIRŞEHİR;040;004600215040;
ABM ŞUBESİ;041;004601184041;
BEKİRPAŞA/İZMİT;041;004600206041;
ÇAYIROVA/KOCAELİ;041;004600729041;
DARICA ŞUBESİ;041;004600118041;
DERİNCE/KOCAELİ;041;004600184041;
GEBZE;041;004600243041;
GEBZE BAĞDAT CADDESİ;041;004600881041;
GEBZE TICARI;041;004600841041;
GÖLCÜK;041;004600988041;
GÜZELLER OSB ŞUBESİ;041;004601346041;
İBRAHİMAĞA GEBZE ŞUBESİ;041;004601045041;
İZMİT;041;004600066041;
İZMİT E5 ŞUBESİ;041;004601260041;
KARAMÜRSEL;041;004600225041;
KENTSA;041;004600625041;
KÖRFEZ/KOCAELİ ŞUBESİ;041;004600549041;
SAKLAMA ŞUBESİ;041;004601234041;
SANAYI/IZMIT;041;004600693041;
AKŞEHİR/KONYA;042;004600040042;
BEYŞEHİR/KONYA;042;004600261042;
BÜSAN SANAYİ;042;004600922042;
EREĞLİ/KONYA;042;004600037042;
KARATAY SANAYİ ŞUBESİ;042;004601197042;
KONYA;042;004600033042;
KULU/KONYA;042;004600468042;
MEVLANA/KONYA;042;004600244042;
NALÇACI/KONYA;042;004600382042;
SELÇUKLU SANAYİ ŞUBESİ;042;004600773042;
YENI TOPTANCILAR SITESI ŞUBESI;042;004601283042;
ZAFER MEYDANI/KONYA;042;004600221042;
KÜTAHYA;043;004600114043;
MENDERES BULVARI ŞUBESİ;043;004601216043;
SİMAV/KÜTAHYA;043;004600502043;
TAVŞANLI/KÜTAHYA;043;004600370043;
DOĞA CADDE/MALATYA ŞUBESİ;044;004601334044;
MALATYA;044;004600060044;
AKHİSAR;045;004600095045;
ALAŞEHİR/MANİSA;045;004600453045;
ÇEVREYOLU/MANISA ŞUBESI;045;004601020045;
KULA/MANİSA;045;004600543045;
MANİSA;045;004600093045;
SALİHLİ;045;004600072045;
SANAYİ SİTESİ/MANİSA;045;004600659045;
